"PMID","pvalue","n","remark"
30087580,0.187,127,""
30087580,0.711,127,""
30087580,0.002,127,""
30087580,0.001,127,""
30087580,0.07,127,""
30087580,0.402,127,""
30088089,NA,NA,"imprecise p values (p<0.01)"
30088193,0.08,48,""
30088193,0.05,48,""
30088193,0.36,48,""
30088193,0.004,48,""
30088193,0.78,48,""
30088193,0.53,48,""
30088193,0.34,48,""
30088193,0.4,48,""
30088193,0.55,48,""
30088193,0.29,48,""
30088193,0.33,48,""
30088193,0.65,48,""
30088193,0.35,48,""
30088193,0.001,48,""
30088193,0.002,48,""
30088193,0.11,48,""
30088193,0.72,48,""
30088193,0.93,48,""
30088193,0.13,48,""
30088193,0.05,48,""
30089150,0.92,410,""
30089150,0.04,410,""
30089150,0.28,410,""
30089150,0.86,410,""
30089150,0.88,410,""
30089150,0.61,410,""
30089150,0.32,410,""
30089150,0.46,410,""
30089150,0.07,410,""
30089150,0.44,410,""
30089150,0.06,410,""
30089150,0.47,410,""
30089150,0.03,410,""
30089150,0.007,410,""
30089150,0.01,410,""
30089150,0.02,410,""
30089150,0.37,410,""
30089150,0.33,410,""
30089150,0.22,410,""
30089150,0.58,410,""
30089150,0.6,410,""
30089150,0.3,410,""
30089150,0.19,410,""
30089150,0.32,410,""
30089150,0.51,410,""
30089150,0.88,410,""
30089150,0.004,410,""
30089150,0.003,410,""
30089150,0.001,410,""
30089150,0.6,410,""
30089150,0.16,410,""
30089150,0.3,410,""
30089150,0.33,410,""
30089493,NA,NA,"no uni- and multivariate analysis"
30089584,0.029,949,""
30089985,NA,NA,"full text not available"
30090127,NA,NA,"full text not available"
30090732,NA,NA,"logistic regression did not converge"
30090830,NA,NA,"imprecise p values (p<0.01)"
30091528,0.693,2617,""
30091528,0.137,2617,""
30091528,0.406,2617,""
30091528,0.039,2617,""
30091528,0.848,2617,""
30091528,0.476,2617,""
30091528,0.034,2617,""
30091528,0.915,2617,""
30091528,0.517,2617,""
30091528,0.095,2617,""
30091528,0.218,2617,""
30091528,0.006,2617,""
30091528,0.542,2617,""
30091528,0.743,2617,""
30091528,0.713,2617,""
30091528,0.014,2617,""
30091528,0.314,2617,""
30091528,0.863,2617,""
30091528,0.281,2617,""
30091528,0.217,2617,""
30091528,0.031,2617,""
30091528,0.002,2617,""
30091528,0.151,2617,""
30091528,0.026,2617,""
30091528,0.174,2617,""
30092482,0.225,110,""
30092482,0.106,110,""
30092482,0.433,110,""
30092482,0.315,110,""
30092482,0.375,110,""
30092482,0.834,110,""
30092482,0.746,110,""
30092482,0.408,110,""
